time,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8
1599267090.0667171,1,2,3,4,5,6,7,8
2.079420566558838,483,483,486,478,487,495,501,505
2.181673765182495,483,482,486,479,487,496,502,505
2.283491373062134,483,483,485,478,487,495,502,505
2.3864898681640625,484,482,486,478,487,495,502,504
2.4889888763427734,483,482,486,478,487,495,502,504
2.591034412384033,483,482,486,478,487,495,502,504
2.689683675765991,483,482,486,478,487,495,502,504
2.7914559841156006,483,482,486,478,487,495,502,504
2.8938255310058594,483,482,486,479,487,495,502,504
2.9967525005340576,483,482,486,478,488,495,502,505
3.099609851837158,483,482,486,478,487,495,501,504
3.201502561569214,483,483,486,478,487,495,501,504
3.304108142852783,483,483,486,478,488,495,501,505
3.406571865081787,483,482,486,478,487,495,502,504
3.5085394382476807,483,482,486,479,487,495,501,504
3.6114323139190674,483,482,485,479,487,495,501,504
3.7137715816497803,484,482,485,478,487,495,501,504
3.8160932064056396,483,482,486,478,487,495,502,504
3.918555974960327,483,482,486,478,487,496,501,504
4.021074295043945,483,483,485,478,487,495,501,504
4.123566389083862,483,482,485,478,487,495,502,504
4.225254774093628,483,482,485,478,487,496,502,504
4.328374624252319,483,482,485,478,487,495,501,504
4.43015193939209,483,482,485,478,487,495,502,504
4.53306245803833,483,483,485,479,487,495,502,504
4.63506293296814,483,482,486,478,487,495,502,505
4.733868598937988,484,482,485,478,487,495,502,504
4.835669040679932,484,482,486,478,487,495,502,505
4.938188552856445,484,482,486,478,487,495,502,504
5.040279388427734,484,483,486,478,487,495,502,505
5.143504619598389,483,483,485,478,487,495,502,504
5.24577522277832,483,482,485,478,487,495,502,504
5.3482420444488525,483,482,485,478,487,495,502,505
5.450592279434204,484,482,485,478,487,495,502,505
5.553223133087158,483,482,485,479,487,495,502,504
5.655625104904175,483,483,485,478,487,495,502,505
5.757875919342041,483,482,485,478,487,495,502,504
5.860368728637695,484,483,485,478,487,495,502,506
5.962714195251465,484,482,485,478,487,495,502,505
6.064581394195557,484,482,486,478,487,496,502,504
6.167539119720459,483,483,485,478,487,496,502,505
6.269635915756226,484,482,485,478,487,495,502,505
6.371257781982422,483,482,486,478,487,495,502,505
6.474984645843506,483,483,485,478,487,495,502,505
6.576947212219238,484,482,485,478,487,495,502,505
6.6795313358306885,484,483,485,478,487,495,502,505
6.777927398681641,483,482,485,478,487,496,502,505
6.880546569824219,483,482,485,478,487,495,502,505
6.982755899429321,483,482,485,478,488,495,502,505
7.085005521774292,483,482,485,478,487,495,502,505
7.1869823932647705,483,483,485,478,487,495,502,505
7.289782762527466,484,482,485,478,487,496,502,505
7.39237380027771,484,482,486,478,487,496,502,505
7.494764804840088,483,483,486,478,487,496,502,505
7.597185850143433,483,482,485,478,487,495,502,505
7.699640512466431,484,482,485,478,487,496,502,505
